Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Loss per 1000 Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),cluster_id,risk_profile
Australia,2015,DDoS,IT,61.01,419127,0.145564,Unknown,Social Engineering,Firewall,26,1,Concentrated High-Loss Incidents
Australia,2015,Malware,Banking,8.24,242247,0.034015,Insider,Social Engineering,Antivirus,29,2,Lower-Impact Incidents
Australia,2015,Malware,Healthcare,62.34,796100,0.078307,Hacker Group,Social Engineering,AI-based Detection,20,3,Critical High-Impact Incidents
Brazil,2015,Malware,Healthcare,23.01,686119,0.033536,Insider,Weak Passwords,VPN,25,0,Widespread Lower-Loss Incidents
Brazil,2015,SQL Injection,Healthcare,3.73,445422,0.008374,Unknown,Unpatched Software,AI-based Detection,70,2,Lower-Impact Incidents
Brazil,2015,Phishing,IT,16.44,82841,0.198452,Insider,Social Engineering,Encryption,36,2,Lower-Impact Incidents
Brazil,2015,Phishing,Banking,43.4,191625,0.226484,Hacker Group,Social Engineering,VPN,65,2,Lower-Impact Incidents
Brazil,2015,Malware,Retail,78.13,71743,1.089026,Hacker Group,Unpatched Software,VPN,35,1,Concentrated High-Loss Incidents
Brazil,2015,Ransomware,Retail,91.03,879260,0.10353,Hacker Group,Social Engineering,Antivirus,16,3,Critical High-Impact Incidents
Brazil,2015,SQL Injection,Banking,89.39,988268,0.090451,Unknown,Zero-day,VPN,44,3,Critical High-Impact Incidents
Brazil,2015,DDoS,Retail,67.52,224815,0.300336,Nation-state,Social Engineering,Firewall,32,1,Concentrated High-Loss Incidents
Brazil,2015,Ransomware,Retail,49.55,920172,0.053849,Hacker Group,Weak Passwords,Antivirus,43,3,Critical High-Impact Incidents
Brazil,2015,Phishing,Healthcare,84.83,794914,0.106716,Insider,Social Engineering,Firewall,34,3,Critical High-Impact Incidents
Brazil,2015,SQL Injection,IT,86.67,694491,0.124796,Unknown,Unpatched Software,Firewall,65,3,Critical High-Impact Incidents
Brazil,2015,Ransomware,Banking,63.14,545908,0.115661,Insider,Social Engineering,AI-based Detection,2,3,Critical High-Impact Incidents
Brazil,2015,Malware,Healthcare,88.08,905770,0.097243,Nation-state,Zero-day,VPN,9,3,Critical High-Impact Incidents
Brazil,2015,Ransomware,Retail,89.93,673959,0.133435,Hacker Group,Zero-day,Firewall,39,3,Critical High-Impact Incidents
Brazil,2015,Malware,IT,74.03,956965,0.077359,Hacker Group,Unpatched Software,Encryption,40,3,Critical High-Impact Incidents
Brazil,2015,DDoS,Banking,18.87,976838,0.019317,Unknown,Weak Passwords,Firewall,65,0,Widespread Lower-Loss Incidents
Brazil,2015,SQL Injection,Retail,74.74,562552,0.132859,Nation-state,Unpatched Software,Encryption,37,3,Critical High-Impact Incidents
Brazil,2015,Ransomware,Healthcare,61.91,961557,0.064385,Insider,Unpatched Software,Firewall,64,3,Critical High-Impact Incidents
Brazil,2015,Phishing,Banking,29.61,593384,0.0499,Unknown,Zero-day,Firewall,65,0,Widespread Lower-Loss Incidents
Brazil,2015,Phishing,Retail,19.93,355008,0.05614,Hacker Group,Unpatched Software,Antivirus,31,2,Lower-Impact Incidents
Brazil,2015,Malware,Healthcare,75.72,184554,0.410286,Unknown,Zero-day,AI-based Detection,39,1,Concentrated High-Loss Incidents
Brazil,2015,Man-in-the-Middle,Banking,74.27,551388,0.134696,Unknown,Unpatched Software,Encryption,51,3,Critical High-Impact Incidents
Brazil,2015,SQL Injection,IT,47.2,16957,2.783511,Unknown,Zero-day,Firewall,49,2,Lower-Impact Incidents
Brazil,2015,DDoS,IT,43.51,940656,0.046255,Unknown,Weak Passwords,AI-based Detection,41,0,Widespread Lower-Loss Incidents
Brazil,2015,Malware,IT,1.35,371048,0.003638,Hacker Group,Zero-day,VPN,56,2,Lower-Impact Incidents
Brazil,2015,Malware,Education,37.54,49473,0.758798,Insider,Social Engineering,Firewall,51,2,Lower-Impact Incidents
China,2015,DDoS,Government,22.71,303975,0.07471,Nation-state,Social Engineering,Firewall,2,2,Lower-Impact Incidents
China,2015,SQL Injection,IT,28.35,604786,0.046876,Unknown,Zero-day,VPN,34,0,Widespread Lower-Loss Incidents
China,2015,DDoS,Telecommunications,61.24,965727,0.063413,Nation-state,Zero-day,AI-based Detection,32,3,Critical High-Impact Incidents
China,2015,Ransomware,IT,60.43,962452,0.062788,Nation-state,Unpatched Software,Encryption,34,3,Critical High-Impact Incidents
China,2015,SQL Injection,Telecommunications,75.91,605020,0.125467,Insider,Unpatched Software,Antivirus,43,3,Critical High-Impact Incidents
China,2015,Ransomware,Telecommunications,32.65,313384,0.104185,Insider,Social Engineering,Antivirus,51,2,Lower-Impact Incidents
China,2015,Phishing,Retail,14.72,914743,0.016092,Insider,Social Engineering,AI-based Detection,69,0,Widespread Lower-Loss Incidents
China,2015,Ransomware,Government,86.88,99312,0.874819,Unknown,Zero-day,AI-based Detection,60,1,Concentrated High-Loss Incidents
China,2015,Phishing,Banking,18.39,541829,0.033941,Nation-state,Zero-day,Antivirus,33,0,Widespread Lower-Loss Incidents
China,2015,Man-in-the-Middle,Retail,47.2,529593,0.089125,Hacker Group,Zero-day,VPN,64,0,Widespread Lower-Loss Incidents
China,2015,Ransomware,IT,57.27,762001,0.075157,Nation-state,Social Engineering,VPN,67,3,Critical High-Impact Incidents
China,2015,SQL Injection,Telecommunications,34.84,712886,0.048872,Hacker Group,Weak Passwords,Antivirus,7,0,Widespread Lower-Loss Incidents
China,2015,Man-in-the-Middle,Banking,66.47,623301,0.106642,Hacker Group,Social Engineering,VPN,40,3,Critical High-Impact Incidents
China,2015,Malware,IT,20.63,780527,0.026431,Hacker Group,Zero-day,Antivirus,68,0,Widespread Lower-Loss Incidents
China,2015,Malware,Retail,19.36,457790,0.04229,Hacker Group,Zero-day,Encryption,39,2,Lower-Impact Incidents
China,2015,DDoS,Education,94.74,103079,0.919101,Nation-state,Social Engineering,Antivirus,57,1,Concentrated High-Loss Incidents
China,2015,SQL Injection,Education,40.68,90689,0.448566,Nation-state,Weak Passwords,Antivirus,40,2,Lower-Impact Incidents
China,2015,SQL Injection,Healthcare,24.07,950991,0.02531,Nation-state,Social Engineering,Encryption,49,0,Widespread Lower-Loss Incidents
China,2015,Man-in-the-Middle,Healthcare,66.13,946668,0.069856,Hacker Group,Unpatched Software,Encryption,67,3,Critical High-Impact Incidents
China,2015,DDoS,Government,97.15,399851,0.242966,Nation-state,Social Engineering,VPN,38,1,Concentrated High-Loss Incidents
China,2015,Malware,Retail,73.45,701505,0.104703,Hacker Group,Social Engineering,Antivirus,36,3,Critical High-Impact Incidents
China,2015,Phishing,Government,42.73,310574,0.137584,Nation-state,Zero-day,Firewall,65,2,Lower-Impact Incidents
China,2015,Ransomware,Government,57.59,887037,0.064924,Insider,Unpatched Software,VPN,39,3,Critical High-Impact Incidents
China,2015,Ransomware,IT,86.82,748040,0.116063,Insider,Weak Passwords,Firewall,18,3,Critical High-Impact Incidents
France,2015,Ransomware,IT,84.02,824619,0.101889,Unknown,Social Engineering,Firewall,21,3,Critical High-Impact Incidents
France,2015,Malware,Banking,30.15,205850,0.146466,Insider,Unpatched Software,Firewall,72,2,Lower-Impact Incidents
France,2015,Malware,Government,71.91,789673,0.091063,Unknown,Weak Passwords,Antivirus,31,3,Critical High-Impact Incidents
France,2015,Malware,Retail,83.45,573985,0.145387,Insider,Weak Passwords,AI-based Detection,45,3,Critical High-Impact Incidents
France,2015,SQL Injection,IT,70.18,596168,0.117718,Nation-state,Zero-day,Encryption,15,3,Critical High-Impact Incidents
France,2015,Man-in-the-Middle,Banking,27.2,559841,0.048585,Nation-state,Unpatched Software,VPN,22,0,Widespread Lower-Loss Incidents
France,2015,SQL Injection,Government,12.92,344516,0.037502,Insider,Zero-day,VPN,28,2,Lower-Impact Incidents
France,2015,SQL Injection,IT,43.86,72222,0.607294,Unknown,Weak Passwords,Firewall,64,2,Lower-Impact Incidents
France,2015,Phishing,Retail,84.86,190100,0.446397,Nation-state,Zero-day,AI-based Detection,69,1,Concentrated High-Loss Incidents
France,2015,Malware,Education,15.76,424,37.169811,Nation-state,Unpatched Software,Antivirus,58,2,Lower-Impact Incidents
France,2015,Phishing,Telecommunications,65.16,998011,0.06529,Unknown,Zero-day,Encryption,14,3,Critical High-Impact Incidents
France,2015,SQL Injection,IT,87.78,6456,13.596654,Hacker Group,Social Engineering,Firewall,69,1,Concentrated High-Loss Incidents
France,2015,Malware,Government,17.3,610049,0.028358,Hacker Group,Social Engineering,AI-based Detection,37,0,Widespread Lower-Loss Incidents
France,2015,Phishing,Healthcare,41.92,383484,0.109314,Unknown,Unpatched Software,VPN,52,2,Lower-Impact Incidents
France,2015,SQL Injection,Retail,61.41,694844,0.08838,Insider,Unpatched Software,Antivirus,43,3,Critical High-Impact Incidents
France,2015,Phishing,Government,41.88,913027,0.045869,Insider,Unpatched Software,Antivirus,68,0,Widespread Lower-Loss Incidents
France,2015,Phishing,Banking,64.62,104619,0.61767,Insider,Unpatched Software,Antivirus,68,1,Concentrated High-Loss Incidents
France,2015,Malware,Banking,20.27,987350,0.02053,Insider,Zero-day,Antivirus,4,0,Widespread Lower-Loss Incidents
France,2015,Ransomware,IT,74.03,597723,0.123853,Unknown,Zero-day,Encryption,48,3,Critical High-Impact Incidents
France,2015,SQL Injection,Education,65.83,691903,0.095143,Unknown,Zero-day,VPN,54,3,Critical High-Impact Incidents
France,2015,Phishing,Banking,95.72,551812,0.173465,Insider,Weak Passwords,Encryption,69,3,Critical High-Impact Incidents
France,2015,Malware,IT,91.94,899215,0.102245,Hacker Group,Weak Passwords,Antivirus,59,3,Critical High-Impact Incidents
France,2015,Phishing,Banking,83.27,288526,0.288605,Hacker Group,Unpatched Software,Encryption,66,1,Concentrated High-Loss Incidents
France,2015,Man-in-the-Middle,Education,17.94,808798,0.022181,Unknown,Social Engineering,Encryption,60,0,Widespread Lower-Loss Incidents
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,0.092937,Hacker Group,Zero-day,Firewall,71,3,Critical High-Impact Incidents
France,2015,Phishing,IT,49.84,282583,0.176373,Unknown,Weak Passwords,VPN,15,2,Lower-Impact Incidents
France,2015,DDoS,Banking,51.64,538890,0.095827,Nation-state,Zero-day,Antivirus,59,3,Critical High-Impact Incidents
France,2015,Phishing,Retail,44.29,427167,0.103683,Insider,Unpatched Software,Encryption,11,2,Lower-Impact Incidents
France,2015,DDoS,Banking,85.36,50427,1.692744,Hacker Group,Zero-day,Encryption,5,1,Concentrated High-Loss Incidents
France,2015,SQL Injection,Government,14.72,540718,0.027223,Insider,Zero-day,AI-based Detection,6,0,Widespread Lower-Loss Incidents
Germany,2015,Malware,Healthcare,90.91,654633,0.138872,Nation-state,Weak Passwords,Antivirus,43,3,Critical High-Impact Incidents
Germany,2015,Phishing,Banking,58.78,861637,0.068219,Unknown,Social Engineering,VPN,15,3,Critical High-Impact Incidents
Germany,2015,SQL Injection,Government,0.72,944106,0.000763,Insider,Unpatched Software,VPN,2,0,Widespread Lower-Loss Incidents
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,0.104114,Hacker Group,Zero-day,Antivirus,59,3,Critical High-Impact Incidents
Germany,2015,Malware,Banking,56.13,526658,0.106578,Nation-state,Weak Passwords,VPN,38,3,Critical High-Impact Incidents
Germany,2015,SQL Injection,Government,87.71,1579,55.547815,Unknown,Unpatched Software,Antivirus,55,1,Concentrated High-Loss Incidents
Germany,2015,Phishing,Retail,84.77,779922,0.10869,Nation-state,Zero-day,Antivirus,50,3,Critical High-Impact Incidents
Germany,2015,DDoS,Telecommunications,31.68,33098,0.957158,Hacker Group,Zero-day,AI-based Detection,8,2,Lower-Impact Incidents
Germany,2015,DDoS,Healthcare,33.96,931456,0.036459,Hacker Group,Zero-day,AI-based Detection,22,0,Widespread Lower-Loss Incidents
Germany,2015,Malware,Education,75.2,461291,0.163021,Insider,Social Engineering,AI-based Detection,5,1,Concentrated High-Loss Incidents
Germany,2015,Man-in-the-Middle,Retail,63.65,311253,0.204496,Nation-state,Weak Passwords,AI-based Detection,36,1,Concentrated High-Loss Incidents
Germany,2015,Ransomware,IT,51.11,506625,0.100883,Insider,Weak Passwords,VPN,41,3,Critical High-Impact Incidents
Germany,2015,DDoS,Retail,7.84,323011,0.024272,Nation-state,Social Engineering,Encryption,25,2,Lower-Impact Incidents
Germany,2015,Man-in-the-Middle,IT,54.54,775866,0.070296,Insider,Weak Passwords,AI-based Detection,69,3,Critical High-Impact Incidents
Germany,2015,Ransomware,IT,6.74,742272,0.00908,Nation-state,Zero-day,Antivirus,64,0,Widespread Lower-Loss Incidents
Germany,2015,Ransomware,Healthcare,58.91,801948,0.073459,Insider,Zero-day,VPN,55,3,Critical High-Impact Incidents
Germany,2015,DDoS,IT,91.79,846200,0.108473,Unknown,Social Engineering,AI-based Detection,26,3,Critical High-Impact Incidents
Germany,2015,DDoS,IT,76.99,252225,0.305243,Unknown,Unpatched Software,Antivirus,67,1,Concentrated High-Loss Incidents
Germany,2015,Man-in-the-Middle,Education,81.5,697275,0.116884,Nation-state,Weak Passwords,Encryption,59,3,Critical High-Impact Incidents
Germany,2015,Ransomware,Telecommunications,99.83,419344,0.238062,Hacker Group,Zero-day,Firewall,59,1,Concentrated High-Loss Incidents
Germany,2015,Phishing,Telecommunications,47.04,124250,0.378592,Insider,Zero-day,AI-based Detection,64,2,Lower-Impact Incidents
India,2015,Ransomware,Healthcare,1.48,818172,0.001809,Unknown,Social Engineering,VPN,30,0,Widespread Lower-Loss Incidents
India,2015,Phishing,Healthcare,28.6,690500,0.041419,Hacker Group,Weak Passwords,Encryption,11,0,Widespread Lower-Loss Incidents
India,2015,DDoS,Healthcare,10.94,600279,0.018225,Insider,Unpatched Software,AI-based Detection,16,0,Widespread Lower-Loss Incidents
India,2015,DDoS,IT,93.14,805278,0.115662,Insider,Social Engineering,Encryption,56,3,Critical High-Impact Incidents
India,2015,Malware,Telecommunications,14.09,28398,0.496162,Insider,Zero-day,Encryption,22,2,Lower-Impact Incidents
India,2015,SQL Injection,Government,46.2,245370,0.188287,Insider,Social Engineering,AI-based Detection,57,2,Lower-Impact Incidents
India,2015,DDoS,Retail,39.28,585934,0.067038,Insider,Unpatched Software,Antivirus,13,0,Widespread Lower-Loss Incidents
India,2015,Man-in-the-Middle,Education,79.89,416328,0.191892,Nation-state,Zero-day,Encryption,55,1,Concentrated High-Loss Incidents
India,2015,Ransomware,Telecommunications,24.7,825941,0.029905,Hacker Group,Unpatched Software,VPN,54,0,Widespread Lower-Loss Incidents
India,2015,Ransomware,Banking,81.81,41635,1.964933,Nation-state,Unpatched Software,Encryption,37,1,Concentrated High-Loss Incidents
India,2015,Malware,Telecommunications,1.52,913114,0.001665,Insider,Unpatched Software,VPN,15,0,Widespread Lower-Loss Incidents
India,2015,Ransomware,Government,56.3,59582,0.944916,Nation-state,Unpatched Software,VPN,56,1,Concentrated High-Loss Incidents
India,2015,Malware,Banking,34.51,970056,0.035575,Hacker Group,Unpatched Software,Firewall,30,0,Widespread Lower-Loss Incidents
India,2015,DDoS,Education,21.74,513867,0.042307,Unknown,Zero-day,Firewall,34,0,Widespread Lower-Loss Incidents
India,2015,Phishing,Retail,49.51,72782,0.680251,Unknown,Zero-day,Encryption,63,2,Lower-Impact Incidents
India,2015,Malware,Retail,89.95,917351,0.098054,Unknown,Zero-day,Encryption,43,3,Critical High-Impact Incidents
India,2015,SQL Injection,Banking,95.81,42883,2.234219,Unknown,Zero-day,Encryption,37,1,Concentrated High-Loss Incidents
India,2015,Malware,Telecommunications,4.52,252949,0.017869,Insider,Unpatched Software,Firewall,51,2,Lower-Impact Incidents
India,2015,Phishing,IT,25.47,741259,0.03436,Hacker Group,Unpatched Software,Antivirus,18,0,Widespread Lower-Loss Incidents
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,0.135619,Nation-state,Zero-day,AI-based Detection,11,2,Lower-Impact Incidents
India,2015,Man-in-the-Middle,Healthcare,37.15,357124,0.104025,Nation-state,Weak Passwords,Antivirus,31,2,Lower-Impact Incidents
India,2015,Man-in-the-Middle,IT,76.97,224983,0.342115,Nation-state,Weak Passwords,AI-based Detection,42,1,Concentrated High-Loss Incidents
India,2015,SQL Injection,IT,42.99,85255,0.504252,Unknown,Unpatched Software,Encryption,61,2,Lower-Impact Incidents
India,2015,Man-in-the-Middle,Banking,97.28,694308,0.140111,Nation-state,Weak Passwords,VPN,66,3,Critical High-Impact Incidents
India,2015,Man-in-the-Middle,Banking,38.1,187807,0.202868,Nation-state,Unpatched Software,VPN,37,2,Lower-Impact Incidents
India,2015,Phishing,Healthcare,76.08,471550,0.16134,Unknown,Zero-day,VPN,5,1,Concentrated High-Loss Incidents
India,2015,Malware,Education,64.29,924049,0.069574,Nation-state,Social Engineering,VPN,5,3,Critical High-Impact Incidents
India,2015,SQL Injection,Government,56.84,631420,0.090019,Nation-state,Unpatched Software,Firewall,68,3,Critical High-Impact Incidents
India,2015,SQL Injection,Telecommunications,63.72,916516,0.069524,Hacker Group,Social Engineering,Encryption,68,3,Critical High-Impact Incidents
India,2015,Man-in-the-Middle,Healthcare,29.54,837320,0.035279,Unknown,Social Engineering,VPN,14,0,Widespread Lower-Loss Incidents
India,2015,Ransomware,Education,96.03,898251,0.106908,Hacker Group,Weak Passwords,Antivirus,70,3,Critical High-Impact Incidents
India,2015,Ransomware,IT,61.68,503774,0.122436,Hacker Group,Zero-day,Firewall,37,3,Critical High-Impact Incidents
Japan,2015,SQL Injection,Banking,20.69,344789,0.060008,Unknown,Zero-day,AI-based Detection,69,2,Lower-Impact Incidents
Japan,2015,Malware,Banking,2.63,418914,0.006278,Nation-state,Unpatched Software,Firewall,53,2,Lower-Impact Incidents
Japan,2015,DDoS,IT,33.27,207244,0.160535,Hacker Group,Zero-day,Antivirus,38,2,Lower-Impact Incidents
Japan,2015,Phishing,Education,58.86,587851,0.100127,Nation-state,Social Engineering,Encryption,6,3,Critical High-Impact Incidents
Japan,2015,Malware,Education,17.19,899381,0.019113,Insider,Unpatched Software,Firewall,66,0,Widespread Lower-Loss Incidents
Japan,2015,Malware,Healthcare,77.01,182338,0.422348,Unknown,Social Engineering,Firewall,72,1,Concentrated High-Loss Incidents
Japan,2015,Ransomware,Retail,95.38,769596,0.123935,Nation-state,Weak Passwords,VPN,65,3,Critical High-Impact Incidents
Japan,2015,Phishing,Banking,87.5,429920,0.203526,Nation-state,Zero-day,Encryption,37,1,Concentrated High-Loss Incidents
Japan,2015,SQL Injection,Education,61.87,244406,0.253144,Nation-state,Social Engineering,VPN,43,1,Concentrated High-Loss Incidents
Japan,2015,SQL Injection,Banking,73.94,274703,0.269163,Nation-state,Social Engineering,Encryption,6,1,Concentrated High-Loss Incidents
Japan,2015,Malware,Retail,9.75,559143,0.017437,Nation-state,Social Engineering,VPN,69,0,Widespread Lower-Loss Incidents
Japan,2015,Malware,Healthcare,27.92,775042,0.036024,Unknown,Zero-day,Encryption,12,0,Widespread Lower-Loss Incidents
Japan,2015,DDoS,Education,76.22,769794,0.099014,Nation-state,Zero-day,AI-based Detection,29,3,Critical High-Impact Incidents
Japan,2015,Phishing,Government,98.29,850600,0.115554,Insider,Zero-day,Encryption,17,3,Critical High-Impact Incidents
Japan,2015,Ransomware,Banking,6.57,443408,0.014817,Hacker Group,Weak Passwords,Encryption,71,2,Lower-Impact Incidents
Japan,2015,DDoS,Government,82.12,55055,1.491599,Hacker Group,Unpatched Software,VPN,44,1,Concentrated High-Loss Incidents
Japan,2015,Malware,Telecommunications,40.38,118734,0.340088,Insider,Unpatched Software,AI-based Detection,21,2,Lower-Impact Incidents
Japan,2015,DDoS,Banking,59.13,182440,0.324107,Insider,Zero-day,Firewall,8,1,Concentrated High-Loss Incidents
Japan,2015,Malware,Telecommunications,28.8,915532,0.031457,Insider,Zero-day,Encryption,68,0,Widespread Lower-Loss Incidents
Japan,2015,SQL Injection,IT,36.98,452892,0.081653,Unknown,Weak Passwords,VPN,17,2,Lower-Impact Incidents
Japan,2015,Malware,Healthcare,5.79,821803,0.007045,Unknown,Social Engineering,Firewall,40,0,Widespread Lower-Loss Incidents
Japan,2015,Man-in-the-Middle,Education,50.99,685261,0.07441,Nation-state,Unpatched Software,AI-based Detection,36,3,Critical High-Impact Incidents
Japan,2015,Man-in-the-Middle,Telecommunications,95.8,23469,4.08198,Insider,Zero-day,Firewall,64,1,Concentrated High-Loss Incidents
Japan,2015,Man-in-the-Middle,Telecommunications,79.88,104759,0.762512,Hacker Group,Zero-day,AI-based Detection,12,1,Concentrated High-Loss Incidents
Japan,2015,Malware,Healthcare,26.29,808392,0.032521,Hacker Group,Weak Passwords,AI-based Detection,4,0,Widespread Lower-Loss Incidents
Japan,2015,DDoS,Retail,11.69,680720,0.017173,Nation-state,Zero-day,Encryption,2,0,Widespread Lower-Loss Incidents
Japan,2015,SQL Injection,Retail,70.88,43366,1.63446,Unknown,Weak Passwords,AI-based Detection,43,1,Concentrated High-Loss Incidents
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,0.010337,Unknown,Unpatched Software,Firewall,58,0,Widespread Lower-Loss Incidents
Japan,2015,Phishing,Education,2.43,552342,0.004399,Unknown,Zero-day,VPN,62,0,Widespread Lower-Loss Incidents
Russia,2015,DDoS,Healthcare,20.92,807631,0.025903,Nation-state,Weak Passwords,Firewall,56,0,Widespread Lower-Loss Incidents
Russia,2015,Malware,Healthcare,35.11,477346,0.073553,Unknown,Social Engineering,Firewall,8,2,Lower-Impact Incidents
Russia,2015,Ransomware,Retail,84.08,71334,1.178681,Unknown,Unpatched Software,AI-based Detection,26,1,Concentrated High-Loss Incidents
Russia,2015,Man-in-the-Middle,Government,46.76,713342,0.065551,Unknown,Weak Passwords,Encryption,36,0,Widespread Lower-Loss Incidents
Russia,2015,Malware,IT,95.33,282598,0.337334,Unknown,Zero-day,VPN,21,1,Concentrated High-Loss Incidents
Russia,2015,Ransomware,Telecommunications,64.68,716832,0.09023,Hacker Group,Social Engineering,VPN,67,3,Critical High-Impact Incidents
Russia,2015,DDoS,Government,97.4,23096,4.21718,Unknown,Weak Passwords,Firewall,38,1,Concentrated High-Loss Incidents
Russia,2015,Malware,Government,54.59,728308,0.074955,Unknown,Zero-day,Firewall,10,3,Critical High-Impact Incidents
Russia,2015,DDoS,Telecommunications,57.21,609196,0.093911,Unknown,Social Engineering,VPN,4,3,Critical High-Impact Incidents
Russia,2015,DDoS,Telecommunications,83.28,236346,0.352365,Insider,Unpatched Software,AI-based Detection,55,1,Concentrated High-Loss Incidents
Russia,2015,Ransomware,Retail,46.96,672033,0.069878,Hacker Group,Social Engineering,Antivirus,2,0,Widespread Lower-Loss Incidents
Russia,2015,DDoS,IT,66.09,467190,0.141463,Nation-state,Social Engineering,AI-based Detection,25,1,Concentrated High-Loss Incidents
Russia,2015,DDoS,Banking,40.64,259321,0.156717,Nation-state,Social Engineering,AI-based Detection,62,2,Lower-Impact Incidents
Russia,2015,SQL Injection,IT,47.8,645774,0.07402,Hacker Group,Social Engineering,Firewall,7,0,Widespread Lower-Loss Incidents
Russia,2015,Phishing,Government,24.06,867302,0.027741,Unknown,Social Engineering,Firewall,55,0,Widespread Lower-Loss Incidents
Russia,2015,Man-in-the-Middle,Government,13.26,616547,0.021507,Hacker Group,Zero-day,AI-based Detection,22,0,Widespread Lower-Loss Incidents
Russia,2015,DDoS,Telecommunications,96.39,238356,0.404395,Unknown,Zero-day,AI-based Detection,3,1,Concentrated High-Loss Incidents
Russia,2015,Ransomware,IT,41.79,7290,5.73251,Insider,Weak Passwords,AI-based Detection,32,2,Lower-Impact Incidents
Russia,2015,Man-in-the-Middle,IT,95.04,566542,0.167755,Unknown,Weak Passwords,Firewall,58,3,Critical High-Impact Incidents
Russia,2015,Phishing,Banking,4.59,720643,0.006369,Unknown,Social Engineering,Firewall,19,0,Widespread Lower-Loss Incidents
Russia,2015,Man-in-the-Middle,Education,98.58,816455,0.120741,Unknown,Unpatched Software,AI-based Detection,40,3,Critical High-Impact Incidents
Russia,2015,Malware,Telecommunications,69.34,20269,3.420988,Unknown,Social Engineering,VPN,36,1,Concentrated High-Loss Incidents
Russia,2015,Man-in-the-Middle,IT,30.93,568075,0.054447,Unknown,Weak Passwords,Encryption,22,0,Widespread Lower-Loss Incidents
Russia,2015,Ransomware,IT,49.3,879875,0.056031,Insider,Zero-day,Encryption,61,0,Widespread Lower-Loss Incidents
Russia,2015,DDoS,Retail,69.61,26321,2.644656,Nation-state,Zero-day,Encryption,11,1,Concentrated High-Loss Incidents
Russia,2015,SQL Injection,IT,56.07,837322,0.066963,Insider,Zero-day,AI-based Detection,25,3,Critical High-Impact Incidents
Russia,2015,Malware,Healthcare,63.09,80855,0.780286,Nation-state,Zero-day,AI-based Detection,53,1,Concentrated High-Loss Incidents
Russia,2015,SQL Injection,Education,23.49,642834,0.036541,Unknown,Weak Passwords,Antivirus,34,0,Widespread Lower-Loss Incidents
